	Expression	Targeting
HELPU_000841	0.873717020466739	4.78179277765218
HELPU_000845	0.879368874767804	1.44758175306929
HELPU_000919	1.14483113659772	2.67394752541755
HELPU_000997	1.25582473798461	1.14820590161989
HELPU_001961	1.18542209603141	2.30464735293016
HELPU_002301	3.27407230971457	6.90666136994079
HELPU_002775	0.621323734948752	8.43651758194398
HELPU_003283	0.492953633962678	1.22302432473916
HELPU_003287	1.2459469631786	2.46431414238337
HELPU_003851	1.08667142209974	1.1666226570837
HELPU_003937	0.685196369065608	2.93347551697471
HELPU_004227	1.49927736309606	1.81716397038347
HELPU_004737	3.36455128168559	3.6075812706938
HELPU_004946	0.756221895364741	3.48265137503818
HELPU_005038	1.32942025592279	5.14603552839864
HELPU_005331	0.51327437602203	1.51782684794335
HELPU_005359	0.562677919029932	2.17110905467362
HELPU_005387	1.3195354004931	1.56866464170669
HELPU_005430	9.86667047477241	1.58803628193635
HELPU_005613	7.55273274289074	2.76748507855209
HELPU_005882	2.29022650120331	3.35683780610845
HELPU_005901	1.40076501057772	1.26438051722958
HELPU_005934	1.45594466881323	2.89398340220395
HELPU_006272	1.79686544006189	2.18843372384168
HELPU_006391	0.744273045559193	1.2048951662077
HELPU_006426	0.652323486192288	3.85257741690445
HELPU_006435	1.64705693619498	5.87478839449251
HELPU_006457	2.49285346888886	3.89453678096492
HELPU_006533	2.34801694068063	3.21655266080661
HELPU_006615	1.11937996108114	1.90093691330449
HELPU_006639	1.54109941702203	6.14262143936607
HELPU_006903	4.22651702430453	3.58701738731
HELPU_007042	4.2241397436147	2.15697362695271
HELPU_007245	2.44251668065377	6.29446564082929
HELPU_008059	3.64531883518679	2.21779884906434
HELPU_008127	1.69529556872099	2.67172822690315
HELPU_008272	7.17459280535687	4.42319716240808
HELPU_008362	5.97467499426221	2.13884234520176
HELPU_008405	2.23733116352754	1.57842508963676
HELPU_008445	1.33967708057095	5.81388147535418
HELPU_008736	2.79697901043391	4.454239443909
HELPU_008788	1.36165013829441	2.25276579292196
HELPU_009033	0.610715495937921	5.03477837190208
HELPU_009134	3.42457458419979	2.04756862108425
HELPU_009310	2.58475180772391	7.08050777687568
HELPU_009414	1.27405497594984	1.12690050723124
HELPU_009495	0.962577890058914	5.70720112322005
HELPU_010009	1.55050139580325	3.7736436898125
HELPU_010160	4.02055958968128	4.35692497111082
HELPU_010380	2.14306842275878	2.99346823291972
HELPU_010478	2.64198370530414	1.26720803746332
HELPU_010771	1.25565943021128	1.43332426181846
HELPU_011488	9.40140505432977	3.38180805932361
HELPU_011489	4.75856249931118	1.85672814051878
HELPU_011520	2.28329452949448	1.70782859942441
HELPU_012308	3.00023455539932	1.88269258514219
HELPU_012483	5.61915900904435	3.23422810386049
HELPU_012588	5.05924488676248	3.64315026093471
HELPU_012664	0.697296279159339	3.86624678397888
HELPU_012709	10.8178378932198	1.59118249653717
HELPU_012777	6.32044623728141	4.18637954202501
HELPU_013040	12.9988928259785	4.33436571522274
HELPU_013485	4.25191001860253	3.7875411707648
HELPU_013528	0.784744913356623	4.08159302960005
HELPU_013629	0.944127680731221	3.7105913891426
HELPU_014380	5.9985701338911	4.24192608934173
HELPU_014639	0.908755645730603	1.10879892102098
HELPU_014923	6.5865743036778	2.19833225296234
HELPU_014928	1.9057955254762	1.73665470979392
HELPU_014965	8.41484236890196	3.62896575490614
HELPU_014966	8.41699895986065	1.68437350668009
HELPU_015152	4.26749978396898	1.93126489825919
HELPU_016008	1.57088693766911	6.27229951517497
HELPU_016212	1.21148899206661	2.24620849793931
HELPU_016237	10.5701542033097	5.32917496543435
